Etappennummer;Titel;Ausgangspunkt;Endpunkt;Laenge (in km);Fahrzeit (in Stunden);Schwierigkeitsgrad;Hoehenmeter bergauf;Hoehenmeter bergab;Info
20;Biketrail-Etappe 20: Weerberg - Windegg;Weerberg;Windegg;22;4,5;mittelschwierig;940;630;http://www.tirol.at/reisefuehrer/sport/radfahren/biketouren/a-bike-trail-tirol-weerberg-windegg
21;Biketrail-Etappe 21: Windegg - Matrei;Windegg;Matreier Tauernhaus;27;3;mittelschwierig;520;720;http://www.tirol.at/reisefuehrer/sport/radfahren/biketouren/a-bike-trail-tirol-windegg-matrei
22;Biketrail-Etappe 22: Matrei - Mieders;Matrei;Mieders;13;3;mittelschwierig;740;740;http://www.tirol.at/reisefuehrer/sport/radfahren/biketouren/a-bike-trail-tirol-matrei-maria-waldrast-mieders
23;Biketrail-Etappe 23: Mieders - Mutters ;Mieders;Mutters;20;2;mittelschwierig;900;1030;http://www.tirol.at/reisefuehrer/sport/radfahren/biketouren/a-bike-trail-tirol-mieders-mutters
24;Biketrail-Etappe 24: Mutters - Sellrain ;Mutters;Sellrain;16,7;1;leicht;415;310;http://www.tirol.at/reisefuehrer/sport/radfahren/biketouren/a-bike-trail-tirol-mutters-sellrain
25;Biketrail-Etappe 25: Sellrain - Kuehtai - Oetz ;Sellrain;Oetz;34,6;3;mittelschwierig;1110;1270;http://www.tirol.at/reisefuehrer/sport/radfahren/biketouren/a-bike-trail-tirol-sellrain-kuehtai-oetz
26;Biketrail-Etappe 26: Oetz - Imst;Oetz;Imst;14,6;1;leicht;215;280;http://www.tirol.at/reisefuehrer/sport/radfahren/biketouren/a-bike-trail-tirol-oetz-imst
27;Biketrail-Etappe 27: Imst - Venetalm - Wenns ;Imst;Wenns;21,9;2;schwierig;1230;965;http://www.tirol.at/reisefuehrer/sport/radfahren/biketouren/a-bike-trail-tirol-imst-venetalm-wenns
28;Biketrail-Etappe 28: Wenns - Pillerhoehe - Landeck ;Wenns;Landeck;18,7;1;mittelschwierig;630;880;http://www.tirol.at/reisefuehrer/sport/radfahren/biketouren/a-bike-trail-tirol-wenns-pillerhoehe-landeck
29;Biketrail-Etappe 29: Landeck - Ischgl ;Landeck;Ischgl;33;3;schwierig;1250;690;http://www.tirol.at/reisefuehrer/sport/radfahren/biketouren/a-bike-trail-tirol-landeck-ischgl
30;Biketrail-Etappe 30: Ischgl - St. Anton ;Ischgl;St. Anton;41,8;4;schwierig;1290;1200;http://www.tirol.at/reisefuehrer/sport/radfahren/biketouren/a-bike-trail-tirol-ischgl-st-anton
31;Biketrail-Etappe 31: St. Anton - Steeg ;St. Anton;Steeg;35,1;3;mittelschwierig;750;1080;http://www.tirol.at/reisefuehrer/sport/radfahren/biketouren/a-bike-trail-tirol-st-anton-steeg
32;Biketrail-Etappe 32: Imst - Marienbergjoch - Ehrwald ;Imst;Ehrwald;37,1;3;schwierig;1380;1100;http://www.tirol.at/reisefuehrer/sport/radfahren/biketouren/a-bike-trail-tirol-imst-marienbergjoch-ehrwald
